T_MeV,stable_sigma_GeV3,stable_free_energy,candidate_count,sigma_branch1_GeV3,free_energy_branch1,sigma_branch2_GeV3,free_energy_branch2,sigma_branch3_GeV3,free_energy_branch3,sigma_branch4_GeV3,free_energy_branch4,sigma_branch5_GeV3,free_energy_branch5,sigma_branch6_GeV3,free_energy_branch6,sigma_branch7_GeV3,free_energy_branch7,sigma_branch8_GeV3,free_energy_branch8,sigma_branch9_GeV3,free_energy_branch9
20.0,0.09712704122934443,-0.11327178014825759,3.0,-0.0179027529052578,-0.0051753349541153945,-0.017902752905257717,-0.005175334954115281,-0.017902752905257897,-0.005175334954115443,-9.978075778038994e-23,-9.116880498181131e-57,0.0,0.0,1.928916222532058e-24,-3.943568805698867e-64,-0.017902752905257852,-0.005175334954115438,0.09712704122934412,-0.11327178014825708,0.09712704122934443,-0.11327178014825759
21.0,0.09712629958591353,-0.11327255166068673,3.0,-0.01790253052332645,-0.00517551765869591,-0.017902530523449728,-0.005175517658789191,-0.01790253052332657,-0.005175517658695986,-1.1324120226918374e-30,8.737727052940287e-83,0.0,0.0,-4.404150946070132e-34,2.531574468146509e-91,-0.017902530523326517,-0.005175517658696008,0.09712629958591353,-0.11327255166068673,0.09712629958591326,-0.11327255166068663
22.0,0.09712544398712772,-0.11327344167327437,3.0,-0.01790227391074458,-0.0051757284598019085,-0.017902273910744605,-0.00517572845980194,-0.017902273910744563,-0.0051757284598020065,1.227599988968317e-44,2.7783679130175743e-109,0.0,0.0,2.6782330211451395e-48,-6.454759762183122e-116,-0.017902273910744566,-0.005175728459801966,0.09712544398712783,-0.11327344167327433,0.09712544398712772,-0.11327344167327437
23.0,0.09712446329358161,-0.11327446175330216,3.0,-0.017901979698662345,-0.005175970112412178,-0.017901979698662366,-0.005175970112412231,-0.017901979698662175,-0.005175970112412093,-2.9900868289300453e-58,-1.7560348785525404e-134,0.0,0.0,-9.836901898699104e-62,-1.1533306860264286e-141,-0.017901979698662335,-0.0051759701124122525,0.09712446329358142,-0.11327446175330128,0.09712446329358161,-0.11327446175330216
24.0,0.09712334583804508,-0.11327562401123947,3.0,-0.017901644352138955,-0.005176245504894789,-0.017901644352138976,-0.0051762455048947964,-0.01790164435213914,-0.005176245504895024,1.4860206118620534e-71,-3.0022467213174034e-160,0.0,0.0,7.038615594329687e-75,-3.255814733725321e-167,-0.017901644352139038,-0.005176245504894957,0.09712334583804508,-0.11327562401123947,0.09712334583804492,-0.11327562401123696
25.0,0.0971220794231321,-0.11327694110199055,3.0,-0.017901264167348732,-0.005176557659892019,-0.01790126416734882,-0.0051765576598919935,-0.01790126416734875,-0.005176557659891986,3.827814152293556e-85,2.41926924908e-186,0.0,0.0,1.718666555447897e-89,-2.174229063081954e-192,-0.01790126416734877,-0.005176557659891993,0.09712207942313161,-0.11327694110199042,0.0971220794231321,-0.11327694110199055
26.0,0.09712065131861781,-0.11327842622633096,3.0,-0.017900835268990774,-0.005176909735804093,-0.017900835268990826,-0.005176909735804143,-0.01790083526899078,-0.005176909735804106,5.415549548688631e-99,9.934142411352158e-213,0.0,0.0,8.589719021825181e-102,1.9306517487242403e-218,-0.01790083526899067,-0.005176909735804027,0.09712065131861781,-0.11327842622633096,0.09712065131861748,-0.11327842622633003
27.0,0.0971190482583963,-0.11328009313251097,3.0,-0.017900353607174083,-0.005177305028371982,-0.01790035360719099,-0.005177305028384869,-0.01790035360717433,-0.005177305028372095,-1.1864491288957465e-112,-5.97211933003557e-239,0.0,0.0,-2.4047281135490148e-116,-6.976453821814455e-245,-0.017900353607190847,-0.005177305028384795,0.0971190482583963,-0.11328009313251097,0.09711904825839651,-0.11328009313251096
28.0,0.09711725643701824,-0.11328195611811835,3.0,-0.017899814953967783,-0.005177746972552854,-0.01789981495396757,-0.005177746972552584,-0.017899814953967537,-0.005177746972552639,-2.3061609280104934e-126,-1.5383458150512647e-266,0.0,0.0,3.837249440762653e-129,-6.593705603219292e-271,-0.01789981495396768,-0.005177746972552733,0.09711725643701824,-0.11328195611811835,0.09711725643701902,-0.11328195611811709
29.0,0.0971152615067013,-0.11328403003367152,3.0,-0.017899214899220726,-0.005178239144452133,-0.017899214899220806,-0.005178239144452218,-0.017899214899220584,-0.005178239144452039,-3.657880670930181e-139,7.441386127249785e-291,0.0,0.0,-4.6443408571313344e-142,8.008836823290356e-297,-0.01789921489922068,-0.005178239144452003,0.0971152615057828,-0.11328403003214327,0.0971152615067013,-0.11328403003367152
30.0,0.09711304856902937,-0.11328633027851401,3.0,-0.01789854884617818,-0.005178785263778367,-0.01789854884618538,-0.005178785263783794,-0.017898548846185445,-0.005178785263783909,-1.0969981670093693e-151,-4.548348e-317,0.0,0.0,-1.0107003316105964e-154,5.0e-323,-0.01789854884618542,-0.0051787852637838775,0.09711304856902937,-0.11328633027851401,0.09711304856832655,-0.11328633027734686
31.0,0.09711060217622196,-0.11328887281377695,3.0,-0.017897812006295827,-0.005179389196438547,-0.017897812006295987,-0.0051793891964386505,-0.01789781200629589,-0.005179389196438575,1.71565335144648e-165,0.0,0.0,0.0,6.736316114933626e-169,0.0,-0.017897812006295765,-0.005179389196438423,0.09711060217622196,-0.11328887281377695,0.09711060217622187,-0.11328887281377618
32.0,0.09710790632071696,-0.11329167415724084,3.0,-0.017896999393389304,-0.0051800549574652684,-0.01789699939338921,-0.005180054957465153,-0.017896999393389217,-0.0051800549574652684,5.833447812612526e-179,0.0,0.0,0.0,5.64272897306362e-182,0.0,-0.017896999393389193,-0.00518005495746512,0.09710790632071638,-0.11329167415723926,0.09710790632071696,-0.11329167415724084
33.0,0.0971049444322743,-0.1132947513921335,3.0,-0.017896105817172738,-0.005180786714409088,-0.01789610581717601,-0.005180786714411704,-0.017896105817176218,-0.005180786714411721,4.093346895883442e-192,0.0,0.0,0.0,8.491338441501631e-195,0.0,-0.01789610581717601,-0.005180786714411664,0.0971049444322743,-0.1132947513921335,0.09710494443194546,-0.11329475139158579
34.0,0.0971016993668515,-0.11329812216382437,3.0,-0.017895125875889584,-0.005181588791080606,-0.01789512587588991,-0.005181588791080886,-0.017895125875889734,-0.0051815887910807825,-1.8697583899314088e-205,0.0,0.0,0.0,-3.892539628035929e-208,0.0,-0.017895125875889872,-0.0051815887910809065,0.0971016993668515,-0.11329812216382437,0.09710169936685102,-0.11329812216382346
35.0,0.09709815340287518,-0.11330180469049597,3.0,-0.017894053948017012,-0.005182465671747169,-0.017894053948017075,-0.00518246567174726,-0.01789405394801731,-0.0051824656717473355,1.5480805459816288e-218,0.0,0.0,0.0,3.010618014583372e-221,0.0,-0.017894053948017238,-0.005182465671747369,0.09709815340287518,-0.11330180469049597,0.09709815340287571,-0.11330180469049461
36.0,0.09709428823157415,-0.1133058177657282,3.0,-0.017892884182992487,-0.005183422005883602,-0.017892884182992383,-0.005183422005883494,-0.01789288418299276,-0.005183422005883899,2.8563143166921878e-232,0.0,0.0,0.0,2.16727986034985e-235,0.0,-0.017892884182992418,-0.0051834220058835576,0.09709428823157415,-0.1133058177657282,0.09709428823157457,-0.1133058177657266
37.0,0.09709008494577571,-0.11331018076028548,3.0,-0.01789161049071892,-0.005184462613445605,-0.017891610490718916,-0.005184462613445559,-0.017891610490718683,-0.0051844626134453405,-5.884194742979645e-245,0.0,0.0,0.0,-5.158032879956522e-248,0.0,-0.017891610490718756,-0.005184462613445364,0.09709008494577537,-0.113310180760285,0.09709008494577571,-0.11331018076028548
38.0,0.09708552403130855,-0.11331491362959797,3.0,-0.017890226529744084,-0.005185592490733931,-0.01789022652974412,-0.005185592490734017,-0.01789022652974403,-0.005185592490734046,3.4750005410074274e-258,0.0,0.0,0.0,1.853109926845165e-261,0.0,-0.0178902265297443,-0.0051855924907341895,0.09708552403130855,-0.11331491362959797,0.09708552403130812,-0.11331491362959778
39.0,0.09708058535413196,-0.11332003691422365,3.0,-0.01788872569388309,-0.0051868168168070095,-0.01788872569388328,-0.005186816816807001,-0.017888725693883147,-0.005186816816806981,2.3033467636976503e-271,0.0,0.0,0.0,1.0965640110376995e-274,0.0,-0.01788872569388338,-0.005186816816807269,0.09708058535413196,-0.11332003691422365,0.09708058535413155,-0.11332003691422324
