T_MeV,sigma_GeV3,mq_GeV,uv_residual,ir_residual
20.0,0.10813559122679323,0.055,-1.862645149230957e-9,-3.2729374765949615e-12
21.0,0.1081353464031224,0.055,-5.587935447692871e-9,-9.196643446784947e-12
22.0,0.10813495745441058,0.055,7.450580596923828e-9,8.548273200403855e-12
23.0,0.10813441923406197,0.055,1.862645149230957e-9,-1.9944046414366312e-12
24.0,0.10813372526835827,0.055,-7.450580596923828e-9,-7.316369732279782e-12
25.0,0.10813286792199271,0.055,-2.7939677238464355e-9,4.6838088962886104e-12
26.0,0.10813183851986811,0.055,-3.725290298461914e-9,1.0396128402589966e-12
27.0,0.10813062745631864,0.055,8.381903171539307e-9,7.537788171418924e-9
28.0,0.10812922424465822,0.055,1.862645149230957e-9,1.9572716780658084e-9
29.0,0.10812761762592916,0.055,-7.450580596923828e-9,5.145777137727237e-10
30.0,0.10812579556953625,0.055,0.0,1.40014666527577e-10
31.0,0.10812374532661888,0.055,2.7939677238464355e-9,3.688471750251665e-11
32.0,0.10812145346365865,0.055,0.0,1.0688783191881157e-11
33.0,0.10811890588101263,0.055,-3.259629011154175e-9,1.7763568394002505e-15
34.0,0.10811608781514503,0.055,-1.862645149230957e-9,-2.218669692410913e-12
35.0,0.10811298388387126,0.055,9.313225746154785e-10,1.2860823517257813e-12
36.0,0.108109578056772,0.055,1.862645149230957e-9,1.9482193636122247e-12
37.0,0.1081058536865532,0.055,-4.656612873077393e-10,-3.2076563627470023e-12
38.0,0.10810179349855066,0.055,-4.656612873077393e-10,3.319566843629218e-12
39.0,0.10809737958637038,0.055,9.313225746154785e-10,-3.5718095148240536e-12
40.0,0.10809259342866369,0.055,-9.313225746154785e-10,6.473044322774513e-12
41.0,0.10808741586994551,0.055,-1.6298145055770874e-9,3.19122506198255e-12
42.0,0.10808182710119489,0.055,6.984919309616089e-10,-6.146638753534717e-12
42.99999999999999,0.10807580667110217,0.055,-4.656612873077393e-10,9.36450916810827e-12
44.0,0.1080693334505933,0.055,2.3283064365386963e-10,1.0542677841840487e-12
45.0,0.1080623856374425,0.055,-2.0954757928848267e-9,4.510614104447086e-12
46.0,0.1080549407461054,0.055,6.984919309616089e-10,6.313465306106991e-9
47.0,0.10804697548332068,0.055,-9.313225746154785e-10,3.787764324414411e-9
48.0,0.10803846587536463,0.055,1.3969838619232178e-9,2.3021118344956903e-9
49.0,0.10802938709173966,0.055,-1.3969838619232178e-9,1.3946270804865435e-9
50.0,0.1080197134478556,0.055,-1.3969838619232178e-9,8.564486897455481e-10
50.99999999999999,0.10800941829750764,0.055,2.3283064365386963e-10,5.035931671670824e-10
52.0,0.10799847395522741,0.055,0.0,3.166777950980304e-10
53.0,0.10798685157435114,0.055,2.3283064365386963e-10,1.9755752589389886e-10
54.0,0.10797452097559762,0.055,3.4924596548080444e-10,1.1263168175901228e-10
55.0,0.1079614504735302,0.055,-3.4924596548080444e-10,7.172262783683436e-11
56.0,0.10794760671365555,0.055,-4.656612873077393e-10,4.800826403084102e-11
57.0,0.10793295443557653,0.055,-3.4924596548080444e-10,3.069411391720678e-11
58.0,0.10791745626445862,0.055,-1.1641532182693481e-10,9.980904991380157e-12
58.99999999999999,0.10790107255200951,0.055,-4.656612873077393e-10,1.4204193377054253e-11
60.0,0.1078837612366173,0.055,-3.4924596548080444e-10,2.7533531010703882e-12
61.0,0.10786547773075969,0.055,-3.4924596548080444e-10,3.6561864646955655e-12
62.0,0.10784617490352695,0.055,3.4924596548080444e-10,-2.615685446016869e-12
63.0,0.10782580313688152,0.055,2.3283064365386963e-10,-3.1015190415928373e-12
64.0,0.1078043104312799,0.055,-1.1641532182693481e-10,9.423573033018329e-12
65.0,0.10778164258577763,0.055,1.1641532182693481e-10,-2.632560835991171e-12
66.0,0.10775774340440725,0.055,-1.1641532182693481e-10,-1.3922196728799463e-12
67.0,0.10773255497029208,0.055,-1.1641532182693481e-10,5.74296166178101e-12
68.0,0.10770601787634032,0.055,-4.0745362639427185e-10,-2.9536373347127665e-12
69.0,0.10767807155145677,0.055,-1.7462298274040222e-10,1.418998252233905e-11
70.0,0.10764865447689909,0.055,-2.9103830456733704e-10,1.1447287562305064e-11
70.99999999999999,0.10761770438629388,0.055,0.0,6.618705583605333e-12
72.0,0.10758515855103289,0.055,-2.9103830456733704e-10,-1.4987122654019913e-11
