T_MeV,sigma_GeV3,mq_GeV,uv_residual,ir_residual
20.0,0.035095834520132645,0.007,0.0,-1.7742474156534627e-12
25.0,0.03509285556381142,0.007,0.0,-9.832579195290236e-12
30.0,0.035087426836609203,0.007,0.0,4.522826557717963e-12
35.0,0.03507845344055232,0.007,0.0,7.225997578075294e-12
40.0,0.035064606075254565,0.007,0.0,-1.709654640080771e-11
45.0,0.03504428198512171,0.007,5.820766091346741e-11,1.5773271577756987e-11
50.0,0.03501552807104913,0.007,5.820766091346741e-11,-5.979772232933556e-12
55.0,0.034975801788169496,0.007,-5.820766091346741e-11,-6.250111539429781e-12
60.0,0.03492099802526013,0.007,0.0,1.3660184094987926e-12
65.0,0.03484320230470083,0.007,-8.731149137020111e-11,-9.369172104811696e-13
70.0,0.034729352506495025,0.007,0.0,-5.222378085534274e-12
75.0,0.034563522510176165,0.007,-2.9103830456733704e-11,-1.1623479956313076e-12
80.0,0.03433032274517036,0.007,5.820766091346741e-11,-6.302180999284701e-13
85.0,0.034016092759387724,0.007,0.0,6.415201703191542e-12
90.0,0.03360819694571174,0.007,-2.9103830456733704e-11,-7.857769990238239e-12
95.0,0.03309384389164426,0.007,2.1827872842550278e-11,1.017652628831911e-11
100.0,0.032459019518926074,0.007,-6.548361852765083e-11,6.7809924342299155e-12
105.0,0.03168750770781,0.007,3.637978807091713e-11,-7.850387007124482e-13
110.0,0.030759800346597855,0.007,-3.637978807091713e-12,2.889133376982045e-12
115.0,0.029651662448422145,0.007,-2.1827872842550278e-11,-1.2809198146612744e-12
120.0,0.028332043838639777,0.007,-1.8189894035458565e-11,1.624256285026604e-13
125.0,0.026759833638723904,0.007,7.275957614183426e-12,1.4841239348584168e-11
130.0,0.0248785306285426,0.007,-3.637978807091713e-12,-2.6151303345045562e-12
135.0,0.022607053593172544,0.007,1.0913936421275139e-11,4.657885188663613e-12
140.0,0.01982357858242467,0.007,0.0,2.0935475575356577e-12
145.0,0.016341502983381002,0.007,-6.366462912410498e-12,4.7215509280107426e-11
150.0,0.01194151172616006,0.007,0.0,2.5487112420563562e-12
155.0,0.007128643771618464,0.007,-9.094947017729282e-13,4.381217610927024e-13
160.0,0.004097624858905083,0.007,-6.821210263296962e-13,1.0215439605332222e-13
165.0,0.002736863888424641,0.007,2.2737367544323206e-13,-1.2941037130786981e-14
170.0,0.0020414006625181116,0.007,1.1368683772161603e-13,-1.5584061818785244e-13
174.99999999999997,0.0016255435735210069,0.007,5.115907697472721e-13,6.75453859511066e-11
180.0,0.0013486222957154858,0.007,1.7053025658242404e-13,4.551060917012961e-12
185.0,0.0011500560089045522,0.007,2.842170943040401e-14,4.041038337287972e-13
190.0,0.0009998712606744005,0.007,0.0,1.1789180742738381e-14
195.0,0.0008816238480389908,0.007,7.105427357601002e-14,-8.406123019888412e-14
200.0,0.0007855606225166031,0.007,7.105427357601002e-14,-1.420738526825005e-14
204.99999999999997,0.0007055365343350813,0.007,8.526512829121202e-14,-7.481168462497578e-14
210.0,0.0006374889757797502,0.007,-1.4210854715202004e-14,6.74807432154978e-16
215.0,0.0005786248334604188,0.007,5.684341886080802e-14,-1.5439038936193583e-16
220.0,0.0005269603644416416,0.007,2.842170943040401e-14,2.7656696377498236e-14
225.0,0.00048104750976052363,0.007,0.0,2.7615063014074792e-14
230.0,0.00043980424303923383,0.007,1.4210854715202004e-14,3.2654434711787417e-14
234.99999999999997,0.0004024054566886034,0.007,1.0658141036401503e-14,-2.7528326840275952e-14
240.0,0.00036821083618143795,0.007,7.105427357601002e-15,-2.931509202053206e-14
245.0,0.0003367155682609247,0.007,-7.105427357601002e-15,-3.065256382051018e-15
250.0,0.00030751619380159047,0.007,-1.0658141036401503e-14,-3.206115928300335e-14
255.0,0.0002802862410859949,0.007,0.0,9.874046025259986e-15
260.0,0.00025475854909805,0.007,-1.7763568394002505e-15,-3.427813588530171e-15
265.0,0.0002307123062295252,0.007,-1.7763568394002505e-15,6.652664530371055e-15
270.0,0.00020796331251214122,0.007,-1.7763568394002505e-15,1.077957167971988e-14
275.0,0.00018635673915171462,0.007,-7.105427357601002e-15,1.2264494975156026e-15
280.0,0.00016576120749653235,0.007,-8.881784197001252e-16,-1.470178145890344e-15
284.99999999999994,0.00014606469969151816,0.007,-8.881784197001252e-16,8.570401333063415e-15
290.0,0.00012717094879843415,0.007,3.552713678800501e-15,1.1025902413308586e-14
295.0,0.00010899674611705351,0.007,7.105427357601002e-15,5.242334344401911e-15
300.0,9.146979589970077e-5,0.007,0.0,-6.704706234650359e-16
