mq_MeV,sigma_GeV3,uv_residual,ir_residual
0.0,0.03522521902409318,0.0,3.2643887593053478e-12
0.5,0.03521630516121945,0.0,6.366684957015423e-12
1.0,0.035207340848478264,0.0,9.456990746059546e-12
1.5,0.03519832608685424,0.0,3.0230262737518387e-12
2.0,0.03518926087747495,0.0,2.1971313657331848e-13
2.5,0.03518014522160555,0.0,7.109091093582265e-12
3.0,0.035170979120697624,0.0,2.1520563109334034e-12
3.5,0.03516176257638591,0.0,-3.682498750379182e-12
4.0,0.03515249559044766,0.0,8.916756222276945e-12
4.5,0.03514317816481943,0.0,-2.3947510641164627e-13
5.0,0.03513381030152426,0.0,-8.813061391776955e-12
5.5,0.035124392002917,0.0,-8.556710895391006e-12
6.0,0.035114923271298296,0.0,2.8632651805082787e-13
6.5,0.03510540410949597,0.0,2.4800161924076747e-12
7.0,0.035095834520132645,0.0,-1.7742474156534627e-12
