T_MeV,sigma_scheme_A_mq0_GeV3,sigma_scheme_B_mq0_GeV3,sigma_scheme_C_mq0_GeV3
20.0,0.035225219024092515,0.022992577856747624,0.009691523607494949
25.0,0.03522218260572438,0.022990668909302767,0.009694292013568645
30.0,0.035216649052590115,0.02298718354437001,0.009699313271334414
35.0,0.03520750205198826,0.02298140358501041,0.00970754567462786
40.0,0.03519338595182219,0.022972437258266837,0.009720083736594535
45.0,0.03517266554803448,0.022959170201504883,0.00973811475771273
50.0,0.03514334685471279,0.02294015563273033,0.009762760965543106
55.0,0.03510283031332718,0.0229131707218901,0.009793958474056237
60.0,0.03504690484686137,0.022873385433508933,0.00982549110365823
65.0,0.034967423270747526,0.022809743501503024,0.009835991000918835
70.0,0.034850913072157506,0.022703643741763146,0.009786684968129076
75.0,0.03468092482378847,0.022532980795969874,0.009631261320995399
80.0,0.03444152494598704,0.022276789949733984,0.00932442356431036
85.0,0.03411849726024859,0.021916229139187785,0.008818880007936064
90.0,0.03369857658289852,0.021432836425068276,0.008050922728900022
95.0,0.033168176069189786,0.020805969989609673,0.006906966254822483
100.0,0.03251220353248567,0.020009941383262692,0.00510563014499376
105.0,0.031712914418820466,0.01901024659290331,1.126926106228713e-14
110.0,0.03074855009448386,0.01775736507534598,2.0599067750540978e-26
115.0,0.029591423911039413,0.016174518315668122,-1.7047577845748915e-38
120.0,0.02820492504531258,0.014128694917138048,-1.864754863872231e-50
125.0,0.026538408024028157,0.011341613802290176,-2.330863530126689e-63
130.0,0.024517623915161366,0.006919061006428678,-2.9580559080310084e-76
135.0,0.022024502824142214,2.4804312255413487e-19,-1.387497636774415e-88
140.0,0.018846233078547103,-4.722305533641613e-31,-3.0996143969999356e-101
145.0,0.014502693374749577,7.741068148486566e-45,5.068407733363073e-114
150.0,0.007023718387798137,-2.3860507165927427e-56,-1.6406906238576673e-126
155.0,2.5744555436280824e-16,6.110578896171931e-69,-4.664046870432575e-139
160.0,1.9056355646078983e-29,-5.67461779844035e-82,-1.6001153878495233e-151
165.0,4.197556353569051e-42,-1.5444642697312592e-94,1.4103896240847317e-163
170.0,1.026708426644647e-54,2.4889601165058196e-107,5.7576059241379955e-176
174.99999999999997,-1.0063071624241563e-66,7.029355905570447e-120,5.037827988388523e-190
180.0,-1.954888530898681e-80,-2.1178106434121817e-133,6.501116281915213e-202
185.0,-1.6779667233276056e-92,-9.744699971335986e-146,-2.1899937453546195e-215
190.0,-1.9842405047250994e-105,-1.6679901360471935e-160,-2.8469495712158476e-227
195.0,1.1466708695836621e-118,1.0115942472536575e-171,2.328647566230773e-241
200.0,-9.534716262343987e-131,2.4025571464646863e-184,3.741575254350244e-254
204.99999999999997,7.501034475449558e-144,2.3903763193738316e-196,-2.0508542194437543e-266
210.0,-2.8927966499061107e-156,-2.4378462441871432e-210,-1.456494218096695e-279
215.0,-6.006978497709586e-169,-6.425797316438594e-225,-2.1520309158177066e-292
220.0,3.195728587367411e-182,1.8508613066128592e-235,-2.012122575657269e-305
225.0,-6.553403000147246e-194,1.61546655392058e-248,3.939222736e-314
230.0,6.680836091816207e-208,1.2054536896940412e-261,-9.9571300663e-314
234.99999999999997,-2.7265570382677342e-220,-7.208757835297756e-275,-2.1507815032e-313
240.0,-8.807361572409375e-234,2.643167942763558e-288,4.7362319027e-314
245.0,-1.6848400331642114e-245,-1.264742413375418e-301,-1.19275038304e-313
250.0,-3.311570374900737e-258,5.4000372033e-314,-2.61465443953e-313
255.0,8.383489507803131e-273,-1.3276133769e-313,6.287701255e-314
260.0,1.3565545292381695e-285,-2.96939541764e-313,-1.5757083754e-313
265.0,3.942760578295382e-299,8.1209934625e-314,-2.734312026e-313
270.0,-4.369659590984e-312,-2.05777002817e-313,-2.229054603e-314
275.0,-8.0966512093e-314,-2.3128360019e-313,5.5661299837e-314
280.0,2.08517455514e-313,-2.0804282245e-313,-1.36932921413e-313
284.99999999999994,3.08863113995e-313,-3.12649018185e-313,3.43817834697e-313
290.0,1.05790019934e-313,-9.6153538436e-314,1.813428074e-314
295.0,-2.66765553756e-313,2.4168589364e-313,-4.4466951365e-314
300.0,-3.04379616676e-313,3.6939100047e-313,1.0656250612e-313
