T_MeV,sigma_n4,sigma_n6,sigma_n8,sigma_n10,sigma_n12
20.0,0.0365104911939094,0.036079433636941396,0.035667220159990125,0.03510776050239329,0.03426414882268206
22.0,0.03654596845377238,0.03612451013695971,0.035741757998702724,0.035247245292136666,0.034521189268928956
24.0,0.03657774300112804,0.03616359553657704,0.03580330940300932,0.03535847706377894,0.03472291645083537
26.0,0.03660635088401816,0.03619789974234305,0.03585513502471547,0.03544914149566244,0.03488467230045381
28.0,0.03663217777703575,0.03622825132189968,0.035899414659732704,0.035524352634519925,0.03501671674785884
30.0,0.03665550290135607,0.03625523029930324,0.03593764784810596,0.035587616683707475,0.03512611191201044
32.0,0.03667652725695428,0.03627924777980074,0.035970888957505054,0.035641397316101685,0.03521783935439687
34.0,0.03669539239863842,0.03630059567044207,0.03599989079439907,0.03568746030568837,0.03529548655587473
36.0,0.03671219325630992,0.03631947879268909,0.03602519539595993,0.03572709074428492,0.03536168207783789
38.0,0.03672698705168256,0.036336036196753005,0.03604719312808391,0.03576123396119363,0.03541837908986751
40.0,0.03673979955537279,0.036350355600361754,0.0360661621002692,0.03579058925241878,0.03546704461605016
42.0,0.03675062945274603,0.03636248328264091,0.036082294958318564,0.03581567355154488,0.035508788542873364
44.0,0.03675945128204722,0.036372430836701095,0.0360957173109162,0.03583686540781067,0.03554445314942236
46.0,0.036766217163987584,0.03638017958132535,0.036106500358058374,0.035854435644336345,0.03557467607828156
48.0,0.03677085723208765,0.03638568290970099,0.03611466912185383,0.035868568523746557,0.035599934787502896
50.0,0.03677327812684634,0.0363888661772581,0.036120206610738996,0.03587937533392053,0.03562057716397898
52.0,0.036773358012246155,0.036389622745342264,0.03612305301709476,0.03588690054566407,0.03563684030288125
54.0,0.036770935584470976,0.03638780375735382,0.03612309785117109,0.03589111915733308,0.03564885733002122
56.0,0.036765790523891284,0.036383199171532085,0.03612016275895026,0.03589192346280627,0.03565665137382997
58.0,0.03675761525518243,0.03637550996521705,0.036113975092660434,0.035889099648893204,0.03566011769612522
60.0,0.0367459829526883,0.03636431648290309,0.03610413731257482,0.03588229953383518,0.035658999710880816
62.0,0.0367303219003185,0.03634905306078848,0.03609010242670363,0.03587101781619492,0.035652869552627656
64.0,0.03670990735473962,0.03632900009511408,0.03607116669012907,0.03585458617531762,0.035641124750893545
66.0,0.036683876863460634,0.03630329951934067,0.0360464855717987,0.035832190325822126,0.035623007284864366
68.0,0.036651266126808656,0.036270990790725065,0.03601511012496398,0.035802907241186094,0.03559764237730079
70.0,0.0366110552859497,0.036231057278123396,0.03597603368200966,0.03576575253123286,0.03556408712994728
72.0,0.03656221363480207,0.036182471055582095,0.03592823689961731,0.03571972604713684,0.0355213771616203
74.0,0.03650373389124468,0.036124227241750316,0.035870722308701586,0.03566384690026407,0.035468562493696426
76.0,0.03643465239661893,0.03605536425753064,0.035802534750417954,0.03559717429564766,0.035404729119317524
78.0,0.03635405608960262,0.03597497084858165,0.03572276854997278,0.035518815043518275,0.0353290071409816
80.0,0.036261079517724885,0.03588218313876215,0.035630564698287896,0.035427921027036444,0.03524056876909998
