T_MeV,sigma_GeV3,mq_GeV,uv_residual,ir_residual
20.0,0.03566722015998994,0.007,0.0,-2.1257440252497872e-12
25.0,0.03583028212247812,0.007,0.0,8.127942763280771e-12
30.0,0.03593764784810608,0.007,0.0,3.6346481380178375e-12
35.0,0.03601297783387775,0.007,0.0,-9.382494781107198e-12
40.0,0.03606616210026916,0.007,0.0,-8.950395979923087e-12
45.0,0.03610143617091791,0.007,0.0,-1.0290435170645651e-11
50.0,0.03612020661073968,0.007,0.0,-7.168377003097248e-12
55.0,0.0361220172674512,0.007,0.0,-3.910982648847039e-12
60.0,0.0361041373125477,0.007,-8.731149137020111e-11,-2.618349981275969e-12
65.0,0.03605960169282984,0.007,2.9103830456733704e-11,-1.6154855231320653e-12
70.0,0.03597603368199743,0.007,-2.9103830456733704e-11,6.434852650727407e-13
75.0,0.03583802042119201,0.007,0.0,3.0989655286361995e-12
80.0,0.03563056469828105,0.007,0.0,8.452127886471317e-12
85.0,0.035340309879523184,0.007,-4.3655745685100555e-11,-2.1785018233799747e-11
90.0,0.03495485941751084,0.007,-7.275957614183426e-12,1.246169833990507e-11
95.0,0.03446161368253068,0.007,-2.1827872842550278e-11,2.173705659913594e-12
100.0,0.033846715387667245,0.007,7.275957614183426e-11,-1.3177237079275983e-12
105.0,0.03309407870126422,0.007,0.0,-6.546485575853467e-12
110.0,0.032184305243724884,0.007,0.0,-1.9929058403533872e-12
115.0,0.031093253482256812,0.007,1.4551915228366852e-11,8.816447572002062e-12
120.0,0.029789953533420156,0.007,7.275957614183426e-12,-2.613353977665156e-12
125.0,0.028233363905480605,0.007,3.637978807091713e-12,1.8652301925214942e-12
130.0,0.02636704326319951,0.007,5.4569682106375694e-12,5.0494053382976745e-12
135.0,0.024109960885974495,0.007,3.637978807091713e-12,8.219480651661115e-11
140.0,0.021340330932877034,0.007,0.0,9.431344594190705e-13
145.0,0.017871563795555736,0.007,-5.4569682106375694e-12,1.9430013153964865e-12
150.0,0.013484302498400545,0.007,-1.8189894035458565e-12,3.268413317769614e-12
155.0,0.00868372425116373,0.007,1.3642420526593924e-12,6.915606975965716e-12
160.0,0.005665024214006576,0.007,-4.547473508864641e-13,1.5858286905867658e-12
165.0,0.004316038077315176,0.007,-4.547473508864641e-13,7.442657601330893e-14
170.0,0.0036317931103306334,0.007,2.2737367544323206e-13,-8.836681386625855e-14
174.99999999999997,0.0032267270540694867,0.007,0.0,8.323355893402606e-12
180.0,0.002960240265393964,0.007,3.410605131648481e-13,6.723614720538507e-13
185.0,0.002771792806317025,0.007,3.410605131648481e-13,1.295907825493714e-13
190.0,0.002631438798490183,0.007,-2.2737367544323206e-13,3.677613769070831e-15
195.0,0.002522754845728051,0.007,2.2737367544323206e-13,1.5355078319956306e-13
200.0,0.002436004784484965,0.007,6.821210263296962e-13,7.528699885739343e-16
204.99999999999997,0.0023650580527387974,0.007,-1.1368683772161603e-13,1.506225699721142e-13
210.0,0.0023058648185908712,0.007,6.821210263296962e-13,-1.8839096949108125e-15
215.0,0.0022556434040298984,0.007,-2.8421709430404007e-13,-5.316407036826121e-14
220.0,0.002212420445406906,0.007,0.0,-5.618942811036476e-14
